sample_id,top20_rank,error_side,class_id,class_name,primary_reason,secondary_visual_factors,gt_area_ratio,local_contrast,edge_density,nearest_iou,nearest_pred_conf,nearest_pred_class_id,manual_check_required,possible_annotation_ambiguity
44000020,1,FN,0,open,low_confidence_miss,complex_pattern,0.00290283203125,21.34321840103624,0.17272996154983733,0.6785544636297829,0.107913039624691,0,False,False
44000020,1,FN,1,short,pure_miss,complex_pattern,0.00286865234375,78.79154489917077,0.16750073594347953,0.0,0.0952319353818893,1,False,False
44000020,1,FN,0,open,class_confusion,low_contrast;complex_pattern,0.006728515625,12.567266378306925,0.10377122877122877,0.8473672877144426,0.1386013776063919,4,False,False
44000020,1,FN,1,short,class_confusion,complex_pattern,0.007109375,47.307292023202166,0.13106332138590204,0.4345024016864836,0.1859496384859085,0,False,False
44000020,1,FN,2,mousebite,low_confidence_miss,small_defect;complex_pattern,0.00205078125,16.047344322344316,0.14958333333333335,0.8144941613341583,0.3767628371715545,2,False,False
44000020,1,FN,2,mousebite,class_confusion,small_defect;low_contrast;complex_pattern,0.0018408203125,12.076987403368435,0.150278293135436,0.7114700023085962,0.0530538335442543,4,False,False
44000020,1,FN,3,spur,pure_miss,complex_pattern,0.0036181640625,83.05814559700967,0.134794776119403,0.04794387098316136,0.2553800344467163,0,False,False
44000020,1,FN,4,copper,low_confidence_miss,complex_pattern,0.00322265625,32.01940887750746,0.1545407636738906,0.7640271400283277,0.631930410861969,4,False,False
44000020,1,FN,5,pin-hole,low_confidence_miss,small_defect;complex_pattern,0.001650390625,16.84146238377007,0.1487603305785124,0.7854789982427194,0.3364304900169372,5,False,False
44000020,1,FP,0,open,localization_iou,,,,,0.2464832448252649,0.7750369906425476,0,False,False
44000017,2,FN,0,open,low_confidence_miss,small_defect;complex_pattern,0.0021484375,23.996500213401617,0.06114551083591331,0.6733044511529611,0.398366242647171,0,False,False
44000017,2,FN,1,short,low_confidence_miss,complex_pattern,0.00297607421875,45.25407786456559,0.0860323886639676,0.8216192405378544,0.1554132848978042,1,False,False
44000017,2,FN,2,mousebite,low_confidence_miss,small_defect;complex_pattern,0.00185302734375,71.11696796907061,0.06702654071075123,0.8408066975406825,0.6178556084632874,2,False,False
44000017,2,FN,3,spur,low_confidence_miss,small_defect,0.0022705078125,36.08242060515127,0.04981132075471698,0.8484151396796165,0.4067393243312835,3,False,False
44000017,2,FN,4,copper,low_confidence_miss,small_defect;complex_pattern,0.00189208984375,34.81092484557311,0.06186924089512944,0.7047287518951689,0.6306256055831909,4,False,False
44000045,3,FN,2,mousebite,low_confidence_miss,,0.002529296875,56.33064603839253,0.04431216931216931,0.8869464907869709,0.4288215041160583,2,False,False
44000045,3,FN,2,mousebite,pure_miss,low_contrast,0.0042724609375,1.002277118789749,0.02187623176980686,0.0,0.4288215041160583,2,False,False
44000045,3,FN,3,spur,class_confusion,,0.0027294921875,44.940601223702444,0.04078455790784558,0.8159217999425389,0.679484486579895,1,False,False
44000045,3,FN,4,copper,low_confidence_miss,,0.00287109375,74.75286357786356,0.03049698795180723,0.861153271769075,0.5834604501724243,4,False,False
44000045,3,FP,1,short,class_confusion,,,,,0.8159217999425389,0.679484486579895,1,False,False
90100010,4,FN,2,mousebite,low_confidence_miss,complex_pattern,0.0029052734375,18.113691605674546,0.11396843950905904,0.8767720204488311,0.0512175895273685,2,False,False
90100010,4,FN,3,spur,low_confidence_miss,,0.0046044921875,22.30196182396608,0.052211073950204384,0.8936817826268516,0.5485188364982605,3,False,False
90100010,4,FN,3,spur,low_confidence_miss,complex_pattern,0.00287109375,14.503598281417823,0.06481481481481481,0.8839034881049839,0.6414909958839417,3,False,False
90100010,4,FN,1,short,low_confidence_miss,,0.00623046875,24.23356966584406,0.043987865416436844,0.5408095516568068,0.5960373282432556,1,False,False
90100010,4,FP,0,open,class_confusion,,,,,0.8824987821646344,0.7121238708496094,0,False,False
90100009,5,FN,0,open,low_confidence_miss,complex_pattern,0.00340576171875,34.915551345693956,0.09802102659245517,0.9018391193845446,0.266788899898529,0,False,False
90100009,5,FN,1,short,low_confidence_miss,complex_pattern,0.0024169921875,70.74243762124557,0.1044,0.7872582150312291,0.5371196269989014,1,False,False
90100009,5,FN,2,mousebite,low_confidence_miss,,0.002890625,87.13606731167596,0.047619047619047616,0.7724771614655597,0.4906122088432312,2,False,False
90100009,5,FN,1,short,class_confusion,complex_pattern,0.0026025390625,26.415703220718854,0.07246376811594203,0.6420376963396234,0.2540391683578491,2,False,False
90100019,6,FN,1,short,low_confidence_miss,complex_pattern,0.00299072265625,36.130480532638586,0.09077851192186154,0.7102236848947954,0.6074735522270203,1,False,False
90100019,6,FN,1,short,low_confidence_miss,complex_pattern,0.003046875,31.668108974358987,0.06053067993366501,0.6316841358918912,0.2263232469558715,1,False,False
90100019,6,FN,2,mousebite,pure_miss,,0.0029736328125,19.226168084788753,0.027210884353741496,0.0,0.9058167934417723,2,True,False
90100019,6,FN,4,copper,low_confidence_miss,,0.0039990234375,43.58887440243373,0.029643449419568823,0.8978159001986331,0.324667364358902,4,False,False
